Machine Delusions,159.349759885,702,3.1252,978269.873621737
Mark-to-Market,585.234503262,3962,1.6491,18861814.20296728
PA(JEET),73.128045586,128,0,77460.4901852689
Kim Jong Musk,39.619671498,168,0,194514.3350399334
MUSTAAAAAARD,2413.904565928,15091,0.15,93182312.76244576
Doge Matrix,81.78809337,959,0.0081,978160.7042970536
Let me do it for you,87.523604446,261,2.5148,98941.13509765948
Nostalgia,72.59758395,813,0,1771507.752691228
I AM IRONYMAN,474.242680624,6826,0,30430476.79133727
eepycat,117.937168445,704,0.5362,824965.5172048296
Sasha - Dasha’s Lil Shi,75.05378626,264,3.5767,203271.5493276425
PA(JEET),73.128045586,128,0,77631.33876131129
Kim Jong Musk,39.619671498,168,0,194538.3385591228
PA(JEET),73.128045586,126,0,77631.33876131129
JUSTICE FOR STASI,58.363126937,143,0,17015.22891637066
DONE,61.842374289,220,0.3565,77730.74176298078
BIG PEPE ON SOL ,64.549730703,452,3.5917,77643.89094655485
MUSTAAAAAARD,2411.908712806,15091,0.15,93182828.51741576
RizzSanta,80.819041301,254,0,26613.40917448251
Just a Chill Arab Guy,68.98870851,366,1.7609,253050.1610541784
just a pickle,71.916962774,258,0,165528.1151644775
BIG PEPE ON SOL ,64.747730703,452,3.5917,77695.05677781497
I AM IRONYMAN,474.150644566,6825,0,30430500.57467774
emilycc,86.211368307,710,0,940884.0097383246
Machine Delusions,164.349759885,703,3.1252,979561.9400676996
MUSTAAAAAARD,2414.011550444,15091,0.15,93183366.87843482
LOXE,29.219013221,759,0,1936773.64513455
GYMGUY,57.360402898,220,0,146968.656525449
WOULD,170.475630618,1298,0,4912624.036009602
ai16zero,139.311427824,949,0,1884135.626765574
Its Pink,44.376650098,399,4.5,1667333.936851363
LOXE,29.219013221,758,0,1936773.64513455
Gnome,292.795936258,5174,0,20792175.91261929
Omega 3,84.758806591,1890,0.2777,398271.8786740231
SWIDDY,54.181078992,1875,4.7547,5876709.69597425
MUSTAAAAAARD,2414.011550444,15091,0.15,93183371.91860645
Polar Inu,123.065438708,2809,4.0209,4489085.701463632
yurang ,236.08262244,1497,0,2998611.288053078
Just a Puff Guy,50.771597989,184,0,93825.7468504393
I AM IRONYMAN,473.528360201,6824,0,30430661.38122731
CATAR,74.392404934,220,0,120092.5302368516
Everybody Eats,40.641511753,255,1.5167,94111.04863736391
Rizzyear,192.24686717,2269,0,1223688.952132752
DOGEN,38.976815031,1231,0,299180.9245642652
MAGAvengers,73.198137882,182,2.3095,99100.2677516403
power of irony man Elon,120.467246222,430,0,271914.9934216063
ai16zero,139.311427824,949,0,1884138.188933336
Memelink,60.937126256,201,0.3565,172974.6119229203
Its Pink,44.376650098,399,4.5,1667336.320310572
Machine Delusions,164.448759885,703,3.1252,979587.5229833296
Sprunki,67.882579689,361,1.759,101356.158581127
imtellinggod,59.46067254,212,0,268478.6889158578
MUSTAAAAAARD,2414.261550444,15092,0.15,93183436.52192871
just a tiny hippo,86.109553665,378,0,220205.2133757981
PA(JEET),77.128045586,127,0,78664.99191808134
Machine Delusions,161.729950095,703,3.1252,981938.0225407976
Mark-to-Market,583.112722849,3961,1.6491,18862362.49922275
Polar Inu,122.644153021,2809,4.0209,4489194.567283699
PA(JEET),81.474927486,129,0,79788.28396759176
Machine Delusions,160.123436412,703,3.1252,982366.087690214
Giant Goose,309.743175444,10525,0,2553312.923081048
